,ds,y,yhat,yhat_lower,yhat_upper
186,2022-09-30,14038.0,,,
187,2022-10-03,12006.0,,,
188,2022-10-04,18491.0,,,
189,2022-10-05,11904.0,,,
190,2022-10-06,18594.0,,,
191,2022-10-07,12946.0,,,
192,2022-10-10,11993.0,,,
193,2022-10-11,15463.0,,,
194,2022-10-12,10778.0,,,
195,2022-10-13,20123.0,,,
196,2022-10-14,13702.0,,,
197,2022-10-17,11839.0,,,
198,2022-10-18,16050.0,,,
199,2022-10-19,12254.0,,,
200,2022-10-20,19047.0,,,
201,2022-10-21,11843.0,,,
202,2022-10-24,11617.0,,,
203,2022-10-25,15761.0,,,
204,2022-10-26,11344.0,,,
205,2022-10-27,19289.0,,,
206,2022-10-28,22579.0,,,
207,2022-10-31,14051.0,,,
208,2022-11-01,16218.0,,,
209,2022-11-02,12659.0,,,
210,2022-11-03,19077.0,,,
211,2022-11-04,12710.0,,,
212,2022-11-07,12384.0,,,
213,2022-11-08,15871.0,,,
214,2022-11-09,11661.0,,,
215,2022-11-10,17736.0,,,
216,2022-11-11,12767.0,,,
217,2022-11-14,13559.0,,,
218,2022-11-15,15930.0,,,
219,2022-11-16,11651.0,,,
220,2022-11-17,18934.0,,,
221,2022-11-18,12015.0,,,
222,2022-11-21,12847.0,,,
223,2022-11-22,15507.0,,,
224,2022-11-23,10795.0,,,
225,2022-11-24,18475.0,,,
226,2022-11-25,12113.0,,,
227,2022-11-28,11667.0,,,
228,2022-11-29,27635.0,,,
229,2022-11-30,14479.0,,,
230,2022-12-01,18511.0,,,
231,2022-12-02,13757.0,,,
232,2022-12-05,11988.0,,,
233,2022-12-06,15903.0,,,
234,2022-12-07,12275.0,,,
235,2022-12-08,19302.0,,,
236,2022-12-09,11773.0,,,
237,2022-12-12,11124.0,,,
238,2022-12-13,15631.0,,,
239,2022-12-14,14029.0,,,
240,2022-12-15,18249.0,,,
241,2022-12-16,13206.0,,,
242,2022-12-19,12684.0,,,
243,2022-12-20,16986.0,,,
244,2022-12-21,14195.0,,,
245,2022-12-22,22238.0,,,
246,2022-12-23,12276.0,,,
247,2022-12-28,10405.0,,,
248,2022-12-29,28629.0,,,
249,2022-12-30,11225.0,,,
250,2023-01-03,7788.0,,,
251,2023-01-04,17694.0,,,
252,2023-01-05,17580.0,,,
253,2023-01-06,12045.0,,,
254,2023-01-09,12202.0,,,
255,2023-01-10,14805.0,,,
256,2023-01-11,10945.0,,,
257,2023-01-12,19350.0,,,
258,2023-01-13,12731.0,,,
259,2023-01-16,12018.0,,,
260,2023-01-17,15905.0,,,
261,2023-01-18,11201.0,,,
262,2023-01-19,18959.0,,,
263,2023-01-20,12403.0,,,
264,2023-01-23,10608.0,,,
265,2023-01-24,14871.0,,,
266,2023-01-25,10521.0,,,
267,2023-01-26,17601.0,,,
268,2023-01-27,12118.0,,,
269,2023-01-30,21147.0,,,
270,2023-01-31,17867.0,,,
271,2023-02-01,12423.0,,,
272,2023-02-02,19081.0,,,
273,2023-02-03,12668.0,,,
274,2023-02-06,11323.0,,,
275,2023-02-07,16253.0,,,
276,2023-02-08,11623.0,,,
277,2023-02-09,18416.0,,,
278,2023-02-10,11281.0,,,
279,2023-02-13,11752.0,,,
280,2023-02-14,17923.0,,,
281,2023-02-15,10631.0,,,
