,reporting_date,volume
265,2023-01-24,55616
266,2023-01-25,57320
267,2023-01-26,295816
268,2023-01-27,50948
269,2023-01-30,21957
270,2023-01-31,54836
271,2023-02-01,66588
272,2023-02-02,158860
273,2023-02-03,55116
274,2023-02-06,43341
275,2023-02-07,57720
276,2023-02-08,58728
277,2023-02-09,166740
278,2023-02-10,56996
279,2023-02-13,40923
280,2023-02-14,57376
281,2023-02-15,55132
282,2023-02-16,157736
283,2023-02-17,54628
284,2023-02-20,40902
285,2023-02-21,56544
286,2023-02-22,54476
287,2023-02-23,159112
288,2023-02-24,55048
289,2023-02-27,107109
290,2023-02-28,54712
291,2023-03-01,54432
292,2023-03-02,163244
293,2023-03-03,57260
294,2023-03-06,44502
295,2023-03-07,59232
296,2023-03-08,60064
297,2023-03-09,170608
298,2023-03-10,58992
299,2023-03-13,47814
300,2023-03-14,58828
301,2023-03-15,57904
302,2023-03-16,161324
303,2023-03-17,56100
304,2023-03-20,41856
305,2023-03-21,57840
306,2023-03-22,55864
307,2023-03-23,163220
308,2023-03-24,56776
309,2023-03-27,42075
310,2023-03-28,56136
311,2023-03-29,87228
312,2023-03-30,134612
313,2023-03-31,57972
314,2023-04-03,39330
315,2023-04-04,60180
316,2023-04-05,271732
317,2023-04-06,56116
318,2023-04-11,43566
319,2023-04-12,61976
320,2023-04-13,161276
321,2023-04-14,56472
322,2023-04-17,40947
323,2023-04-18,59584
324,2023-04-19,57440
325,2023-04-20,159524
326,2023-04-21,55668
327,2023-04-24,40602
328,2023-04-25,61604
329,2023-04-26,58104
330,2023-04-27,225288
331,2023-04-28,54888
332,2023-05-02,41523
333,2023-05-03,55496
334,2023-05-04,220588
335,2023-05-05,60200
336,2023-05-09,44997
337,2023-05-10,63460
338,2023-05-11,171884
339,2023-05-12,58448
340,2023-05-15,43848
341,2023-05-16,61180
342,2023-05-17,57432
343,2023-05-18,166284
344,2023-05-19,56980
345,2023-05-22,43020
346,2023-05-23,59588
347,2023-05-24,56976
348,2023-05-25,218600
349,2023-05-26,53216
350,2023-05-30,22938
351,2023-05-31,58748
352,2023-06-01,161616
353,2023-06-02,60352
354,2023-06-05,42549
355,2023-06-06,62528
356,2023-06-07,58548
357,2023-06-08,170728
358,2023-06-09,60248
359,2023-06-12,43881
360,2023-06-13,58592
361,2023-06-14,58220
362,2023-06-15,163080
363,2023-06-16,57336
364,2023-06-19,42462
365,2023-06-20,59588
366,2023-06-21,56208
367,2023-06-22,159824
368,2023-06-23,58872
369,2023-06-26,42618
370,2023-06-27,59004
371,2023-06-28,54504
372,2023-06-29,179020
373,2023-06-30,57664
374,2023-07-03,39198
375,2023-07-04,60960
376,2023-07-05,58652
377,2023-07-06,171272
378,2023-07-07,60140
379,2023-07-10,44394
380,2023-07-11,63676
381,2023-07-12,60076
382,2023-07-13,167616
383,2023-07-14,57496
384,2023-07-17,42396
385,2023-07-18,60240
386,2023-07-19,57616
387,2023-07-20,163484
388,2023-07-21,56476
389,2023-07-24,42030
390,2023-07-25,61604
391,2023-07-26,58128
392,2023-07-27,158192
393,2023-07-28,30620
394,2023-07-31,41676
395,2023-08-01,59048
396,2023-08-02,58916
397,2023-08-03,162548
398,2023-08-04,59920
399,2023-08-07,42900
400,2023-08-08,63336
401,2023-08-09,60952
402,2023-08-10,170820
403,2023-08-11,55396
404,2023-08-14,42432
405,2023-08-15,60596
406,2023-08-16,58576
407,2023-08-17,164068
408,2023-08-18,56940
409,2023-08-21,41766
410,2023-08-22,59116
411,2023-08-23,57372
412,2023-08-24,218948
413,2023-08-25,53924
414,2023-08-29,39102
415,2023-08-30,34124
416,2023-08-31,163272
417,2023-09-01,53016
418,2023-09-04,43767
419,2023-09-05,60576
420,2023-09-06,61128
421,2023-09-07,171792
422,2023-09-08,59036
423,2023-09-11,44922
424,2023-09-12,61472
425,2023-09-13,56792
426,2023-09-14,166028
427,2023-09-15,56832
428,2023-09-18,42978
429,2023-09-19,60332
430,2023-09-20,58056
431,2023-09-21,162676
432,2023-09-22,56256
433,2023-09-25,44259
434,2023-09-26,60784
435,2023-09-27,58256
436,2023-09-28,180488
437,2023-09-29,56356
