,reporting_date,volume
261,2023-01-18,387402
262,2023-01-19,860277
263,2023-01-20,987859
264,2023-01-23,494239
265,2023-01-24,605211
266,2023-01-25,487675
267,2023-01-26,1178381
268,2023-01-27,978586
269,2023-01-30,1309889
270,2023-01-31,757631
271,2023-02-01,322343
272,2023-02-02,764667
273,2023-02-03,1099289
274,2023-02-06,457396
275,2023-02-07,966383
276,2023-02-08,369570
277,2023-02-09,811973
278,2023-02-10,969424
279,2023-02-13,522858
280,2023-02-14,557165
281,2023-02-15,355063
282,2023-02-16,800939
283,2023-02-17,966858
284,2023-02-20,461775
285,2023-02-21,407404
286,2023-02-22,457644
287,2023-02-23,1235716
288,2023-02-24,1118937
289,2023-02-27,1629964
290,2023-02-28,766446
291,2023-03-01,323253
292,2023-03-02,778249
293,2023-03-03,1001626
294,2023-03-06,514063
295,2023-03-07,917789
296,2023-03-08,459356
297,2023-03-09,841576
298,2023-03-10,960149
299,2023-03-13,474673
300,2023-03-14,558426
301,2023-03-15,415987
302,2023-03-16,758526
303,2023-03-17,940326
304,2023-03-20,488324
305,2023-03-21,371971
306,2023-03-22,418202
307,2023-03-23,1155624
308,2023-03-24,1018985
309,2023-03-27,688048
310,2023-03-28,420543
311,2023-03-29,503142
312,2023-03-30,2065116
313,2023-03-31,990248
314,2023-04-03,392943
315,2023-04-04,413736
316,2023-04-05,1809191
317,2023-04-06,432016
318,2023-04-11,715388
319,2023-04-12,401901
320,2023-04-13,911460
321,2023-04-14,988781
322,2023-04-17,429160
323,2023-04-18,318951
324,2023-04-19,376341
325,2023-04-20,843402
326,2023-04-21,1008490
327,2023-04-24,782383
328,2023-04-25,614671
329,2023-04-26,718574
330,2023-04-27,3050351
331,2023-04-28,688817
332,2023-05-02,383041
333,2023-05-03,384588
334,2023-05-04,1623060
335,2023-05-05,443148
336,2023-05-09,725999
337,2023-05-10,368437
338,2023-05-11,734059
339,2023-05-12,1066917
340,2023-05-15,749620
341,2023-05-16,317833
342,2023-05-17,364229
343,2023-05-18,855061
344,2023-05-19,883048
345,2023-05-22,508624
346,2023-05-23,391225
347,2023-05-24,579211
348,2023-05-25,2068127
349,2023-05-26,490597
350,2023-05-30,1153224
351,2023-05-31,689825
352,2023-06-01,712708
353,2023-06-02,914440
354,2023-06-05,436855
355,2023-06-06,332265
356,2023-06-07,728934
357,2023-06-08,714416
358,2023-06-09,872682
359,2023-06-12,366756
