,reporting_date,volume
249,2022-12-30,13094437
250,2023-01-03,1382160
251,2023-01-04,2111635
252,2023-01-05,1316667
253,2023-01-06,2686247
254,2023-01-09,1778172
255,2023-01-10,1093668
256,2023-01-11,873284
257,2023-01-12,829573
258,2023-01-13,3684721
259,2023-01-16,939059
260,2023-01-17,1110326
261,2023-01-18,832797
262,2023-01-19,1271169
263,2023-01-20,2389503
264,2023-01-23,829732
265,2023-01-24,1494288
266,2023-01-25,882297
267,2023-01-26,1095732
268,2023-01-27,2962053
269,2023-01-30,1152268
270,2023-01-31,10707459
271,2023-02-01,1417887
272,2023-02-02,1331463
273,2023-02-03,2579631
274,2023-02-06,1058597
275,2023-02-07,1719245
276,2023-02-08,744090
277,2023-02-09,1812611
278,2023-02-10,1749074
279,2023-02-13,878607
280,2023-02-14,2440907
281,2023-02-15,990581
282,2023-02-16,996487
283,2023-02-17,2091161
284,2023-02-20,1039777
285,2023-02-21,1408228
286,2023-02-22,804688
287,2023-02-23,932235
288,2023-02-24,2388919
289,2023-02-27,2797878
290,2023-02-28,10810843
291,2023-03-01,1463280
292,2023-03-02,1322291
293,2023-03-03,2807594
294,2023-03-06,1163289
295,2023-03-07,1862424
296,2023-03-08,894764
297,2023-03-09,1770426
298,2023-03-10,1848678
299,2023-03-13,938636
300,2023-03-14,2515247
301,2023-03-15,1050664
302,2023-03-16,969289
303,2023-03-17,2159051
304,2023-03-20,1007356
305,2023-03-21,1458164
306,2023-03-22,948852
307,2023-03-23,921890
308,2023-03-24,2433185
309,2023-03-27,1980371
310,2023-03-28,996749
311,2023-03-29,713592
312,2023-03-30,1210562
313,2023-03-31,13125871
314,2023-04-03,1106608
315,2023-04-04,1836224
316,2023-04-05,1078365
317,2023-04-06,3892635
318,2023-04-11,1582656
319,2023-04-12,1393125
320,2023-04-13,1030736
321,2023-04-14,3728241
322,2023-04-17,931351
323,2023-04-18,1233195
324,2023-04-19,1116579
325,2023-04-20,1162595
326,2023-04-21,2212431
327,2023-04-24,1246408
328,2023-04-25,1310307
329,2023-04-26,917267
330,2023-04-27,2639412
331,2023-04-28,11826683
332,2023-05-02,2646851
333,2023-05-03,1923507
334,2023-05-04,1598163
335,2023-05-05,3314493
336,2023-05-09,1774245
337,2023-05-10,1386712
338,2023-05-11,1023572
339,2023-05-12,3444518
340,2023-05-15,1091394
341,2023-05-16,1271989
342,2023-05-17,838170
343,2023-05-18,890841
344,2023-05-19,2698558
345,2023-05-22,977497
346,2023-05-23,1124235
347,2023-05-24,1175922
348,2023-05-25,1118034
349,2023-05-26,3396544
350,2023-05-30,1309817
351,2023-05-31,11773261
352,2023-06-01,1621170
353,2023-06-02,3072724
354,2023-06-05,1061720
355,2023-06-06,1350860
356,2023-06-07,1486858
357,2023-06-08,884874
358,2023-06-09,2755825
359,2023-06-12,719696
360,2023-06-13,1162856
361,2023-06-14,2437664
362,2023-06-15,1135416
363,2023-06-16,1975309
364,2023-06-19,1171174
365,2023-06-20,1286097
366,2023-06-21,1091885
367,2023-06-22,858406
368,2023-06-23,2563324
369,2023-06-26,900159
370,2023-06-27,2411707
371,2023-06-28,666317
372,2023-06-29,1421039
373,2023-06-30,13242785
374,2023-07-03,1228744
375,2023-07-04,1920203
376,2023-07-05,905540
377,2023-07-06,1262766
378,2023-07-07,3391183
379,2023-07-10,748933
380,2023-07-11,1233673
381,2023-07-12,679571
382,2023-07-13,1002074
383,2023-07-14,3794935
384,2023-07-17,826591
385,2023-07-18,1146620
386,2023-07-19,1117735
387,2023-07-20,1162769
388,2023-07-21,2234790
389,2023-07-24,1190723
390,2023-07-25,1271965
391,2023-07-26,866430
392,2023-07-27,2307353
393,2023-07-28,2021717
394,2023-07-31,11152540
395,2023-08-01,1842436
396,2023-08-02,1219445
397,2023-08-03,1140306
398,2023-08-04,2737574
399,2023-08-07,1555107
400,2023-08-08,979670
401,2023-08-09,1717876
402,2023-08-10,880486
403,2023-08-11,1821864
404,2023-08-14,2457744
405,2023-08-15,1286391
406,2023-08-16,894047
407,2023-08-17,900305
408,2023-08-18,2330196
409,2023-08-21,1199859
410,2023-08-22,1140685
411,2023-08-23,802014
412,2023-08-24,1322557
413,2023-08-25,3693096
414,2023-08-29,764945
415,2023-08-30,1680712
416,2023-08-31,11504136
417,2023-09-01,2875805
418,2023-09-04,1547478
419,2023-09-05,1296929
420,2023-09-06,1021545
421,2023-09-07,1623743
422,2023-09-08,2659056
423,2023-09-11,829667
424,2023-09-12,1005280
425,2023-09-13,836561
426,2023-09-14,2620944
427,2023-09-15,2058946
428,2023-09-18,871548
429,2023-09-19,1393456
430,2023-09-20,971302
431,2023-09-21,1269869
432,2023-09-22,2252526
433,2023-09-25,1012581
434,2023-09-26,1176251
435,2023-09-27,2139173
436,2023-09-28,1195102
437,2023-09-29,12953918
